focal_id,delay_year,new_phrase_comb,new_phrase,new_word_comb,novelty,first_author_productivity,team_productivity,author_count,journal_tier_rc,journal_tier_orig5,journal_tier,inter_coauthorship,Ni_foreign_ratio,Nj_foreign_ratio,year,field,Ni_dynamic,Nj_dynamic,citation_dynamic
https://openalex.org/W1991130919,0,2,0,9,1.0986122886681098,27.0,13.5,2,0,5,0,0,0.0,,1999,4,1,0,1
https://openalex.org/W1991305487,0,4,0,10,1.6094379124341003,44.0,44.0,1,0,2,1,0,0.3333,,1999,4,3,0,3
https://openalex.org/W1991439075,0,0,0,0,0.0,137.0,69.5,2,1,1,1,0,0.0,,1999,4,2,0,2
https://openalex.org/W1991475006,5,1,0,9,0.6931471805599453,9.0,24.5,2,0,2,1,0,0.2581,0.4545,1999,4,31,11,42
https://openalex.org/W1991571800,0,4,0,3,1.6094379124341003,18.0,52.333333333333336,3,1,1,1,1,0.0,,1999,4,2,0,2
https://openalex.org/W1991583639,1,7,1,9,2.0794415416798357,1.0,4.5,2,1,1,1,0,0.1667,0.3333,1999,4,6,3,9
https://openalex.org/W1991787874,0,0,0,0,0.0,121.0,61.0,2,0,3,0,0,0.0,,1999,4,3,0,3
https://openalex.org/W1991971356,0,2,1,1,1.0986122886681098,33.0,123.33333333333331,3,1,1,1,1,0.4286,0.0,1999,4,7,1,8
https://openalex.org/W1992711263,3,0,0,0,0.0,18.0,15.5,2,0,3,0,1,0.0,0.0,1999,4,6,1,7
https://openalex.org/W1992719188,1,1,0,3,0.6931471805599453,9.0,4.0,3,0,2,1,0,0.5,,1999,4,2,0,2
https://openalex.org/W1992818446,0,1,1,6,0.6931471805599453,9.0,9.666666666666666,3,1,1,1,0,0.5,0.5,1999,4,4,2,6
https://openalex.org/W1993316688,0,3,1,17,1.3862943611198906,37.0,37.0,1,0,2,1,0,1.0,,1999,4,1,0,1
https://openalex.org/W1993745602,5,0,0,9,0.0,16.0,57.5,2,1,1,1,1,0.6,0.6667,1999,4,10,6,16
https://openalex.org/W1994000270,0,5,0,4,1.791759469228055,1.0,1.0,1,0,5,0,0,0.25,,1999,4,4,0,4
https://openalex.org/W1994033055,0,0,0,1,0.0,2.0,2.0,1,0,2,1,0,1.0,1.0,1999,4,2,1,3
https://openalex.org/W1994174994,0,3,0,1,1.3862943611198906,21.0,10.5,2,1,1,1,0,0.5,0.0,1999,4,6,1,7
https://openalex.org/W1994201446,0,3,0,0,1.3862943611198906,10.0,10.0,1,0,3,0,0,0.25,,1999,4,4,0,4
https://openalex.org/W1994528974,0,0,0,0,0.0,57.0,54.0,2,0,2,1,0,0.3333,1.0,1999,4,12,1,13
https://openalex.org/W1994805899,1,9,1,27,2.302585092994046,4.0,4.5,2,1,1,1,0,0.6,0.0,1999,4,5,1,6
https://openalex.org/W1995313155,0,4,0,15,1.6094379124341003,39.0,24.5,2,0,3,0,1,0.3333,0.0,1999,4,3,2,5
https://openalex.org/W1996021822,1,0,1,2,0.0,85.0,47.0,2,1,1,1,0,0.0,1.0,1999,4,2,1,3
https://openalex.org/W1996148434,0,3,0,2,1.3862943611198906,2.0,2.0,1,0,2,1,0,0.3333,0.0,1999,4,3,1,4
https://openalex.org/W1996189363,1,2,0,1,1.0986122886681098,8.0,26.5,2,1,1,1,0,0.1429,0.3333,1999,4,7,3,10
https://openalex.org/W1996472974,7,8,0,4,2.1972245773362196,3.0,3.0,2,0,3,0,0,0.2778,0.3333,1999,4,18,6,24
https://openalex.org/W1996546452,0,3,1,24,1.3862943611198906,2.0,49.0,3,1,1,1,0,0.0,,1999,4,2,0,2
https://openalex.org/W1996958930,0,7,0,1,2.0794415416798357,5.0,2.5,2,0,2,1,0,0.0455,0.6,1999,4,22,5,27
https://openalex.org/W1997020049,0,33,2,58,3.5263605246161616,3.0,46.0,3,0,2,1,0,0.75,,1999,4,4,0,4
https://openalex.org/W1997068125,1,1,0,8,0.6931471805599453,3.0,3.0,1,0,4,0,0,0.0,,1999,4,1,0,1
https://openalex.org/W1997173798,0,21,0,7,3.091042453358316,8.0,8.0,1,0,2,1,0,0.0,,1999,4,1,0,1
https://openalex.org/W1997365507,12,1,1,2,0.6931471805599453,4.0,56.0,2,1,1,1,0,0.6042,0.36,1999,4,48,25,73
https://openalex.org/W1997529716,0,1,0,4,0.6931471805599453,5.0,28.5,2,0,2,1,0,0.4,0.0,1999,4,5,1,6
https://openalex.org/W1998268563,0,5,0,10,1.791759469228055,13.0,7.5,2,1,1,1,0,0.5,,1999,4,4,0,4
https://openalex.org/W1998319635,8,0,1,0,0.0,7.0,7.0,1,0,2,1,0,0.3333,0.3333,1999,4,42,9,51
https://openalex.org/W1998544780,0,8,0,15,2.1972245773362196,5.0,20.333333333333332,3,1,1,1,0,1.0,,1999,4,1,0,1
https://openalex.org/W1998960900,3,3,1,2,1.3862943611198906,107.0,107.0,1,1,1,1,0,0.2857,0.0,1999,4,7,3,10
